Date,Demographic_category,Administered_Dose1,Administered_Dose1_pct_known,Administered_Dose1_pct_US,Series_Complete_Yes,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup,Series_Complete_Pop_Pct_known,Series_Complete_Pop_Pct_US,Booster_Doses_Vax_pct_agegroup,Booster_Doses_Pop_Pct_known,Booster_Doses_Vax_Pct_US,Booster_Doses_Pop_Pct_known_Last14Days,Booster_Doses_Yes,Booster_Doses_Yes_Last14Days
1/23/2022,Race_eth_NHAsian,12503130,6.7,5,11079162,65.8,58.3,6.8,5.3,82.9,4.6,4.1,5.6,1252024,39894
1/23/2022,Ages_50-64_yrs,58547929,23.4,23.3,50449331,92,79.2,24,24,0,0,0,0,0,0
1/23/2022,Ages_16-17_yrs,5851071,2.3,2.3,4942223,69.7,58.9,2.3,2.3,0,0,0,0,0,0
1/23/2022,Ages_12-17_yrs,16629800,6.6,6.6,13923641,65.7,55,6.6,6.6,0,0,0,0,0,0
1/23/2022,Ages_5-11_yrs,8376188,3.3,3.3,5719260,29.1,19.9,2.7,2.7,0,0,0,0,0,0
1/23/2022,Sex_known,248528099,100,99.1,208843553,,,100,99.3,63.2,100,100,100,30404068,800166
1/23/2022,Age_unknown,25404,0,0,5807,,,0,0,0,0,0,0,0,0
1/23/2022,Ages_75+_yrs,22766982,9.1,9.1,19459520,95,85,9.3,9.3,65.3,41.8,40.3,37.8,12712533,303177
1/23/2022,Sex_Female,129829779,52.2,51.8,109545264,77,65,52.5,52.1,63.5,55,54.8,56.9,16726844,455190
1/23/2022,Ages_<12yrs,8401505,3.4,3.4,5723739,17.3,11.8,2.7,2.7,0,0,0,0,0,0
1/23/2022,Race_eth_NHWhite,103438336,55.7,41.2,92567243,52.4,46.9,56.8,44,74.7,72.8,71.1,63.7,19747467,454108
1/23/2022,Race_eth_NHBlack,18757289,10.1,7.5,16119013,45.5,39.1,9.9,7.7,66.7,7.6,8.3,10.9,2050248,78098
1/23/2022,Race_eth_unknown,65065280,35,25.9,47527994,,,29.2,22.6,29.6,12.2,30,12.3,3304892,88038
1/23/2022,Ages_18-24_yrs,22917247,9.1,9.1,18436321,74.9,60.3,8.8,8.8,0,0,0,0,0,0
1/23/2022,Sex_unknown,2235501,0.9,0.9,1514455,,,0.7,0.7,17.9,0.1,0.5,0.2,42103,1233
1/23/2022,Race_eth_known,185698315,100,74.1,162830009,,,100,77.4,73,100,100,100,27141279,713361
1/23/2022,Ages_<5yrs,20259,0,0,3174,0.1,0,0,0,0,0,0,0,0,0
1/23/2022,Sex_Male,118698320,47.8,47.3,99298289,72.6,60.7,47.5,47.2,62.9,45,45.2,43.1,13677224,344976
1/23/2022,Race_eth_NHAIAN,1672478,0.9,0.7,1369022,68.7,56.2,0.8,0.7,62.2,0.5,0.6,0.7,142845,4679
1/23/2022,Age_known,250738196,100,100,210352201,,,100,100,63,100,100,100,30446171,801399
1/23/2022,Race_eth_NHMult_Oth,11079544,6,4.4,9658462,95,95,5.9,4.6,73.7,5.9,5.8,5.1,1592032,36431
1/23/2022,Ages_12-15_yrs,10778729,4.3,4.3,8981418,63.7,53.1,4.3,4.3,0,0,0,0,0,0
